user_id,fake_review_count
USER_BOT_024,51
USER_BOT_047,51
USER_BOT_046,49
USER_BOT_022,49
USER_BOT_011,48
USER_BOT_037,48
USER_BOT_043,47
USER_BOT_005,47
USER_BOT_045,47
USER_BOT_026,45
USER_BOT_038,45
USER_BOT_042,45
USER_BOT_012,45
USER_BOT_035,45
USER_BOT_021,44
USER_BOT_007,44
USER_BOT_013,43
USER_BOT_030,43
USER_BOT_018,43
USER_BOT_029,42
USER_BOT_019,42
USER_BOT_006,42
USER_BOT_017,41
USER_BOT_016,41
USER_BOT_015,41
USER_BOT_003,41
USER_BOT_036,41
USER_BOT_025,39
USER_BOT_040,39
USER_BOT_027,39
USER_BOT_034,39
USER_BOT_044,38
USER_BOT_050,38
USER_BOT_023,38
USER_BOT_032,37
USER_BOT_049,37
USER_BOT_002,37
USER_BOT_020,36
USER_BOT_009,35
USER_BOT_048,33
USER_BOT_028,33
USER_BOT_001,32
USER_BOT_004,32
USER_BOT_010,32
USER_BOT_039,31
USER_BOT_033,31
USER_BOT_008,31
USER_BOT_014,30
USER_BOT_031,27
USER_BOT_041,26
