product_id,fake_reviews_on_product,average_fake_rating
PROD_0064,22,2.4545454545454546
PROD_0083,20,2.2
PROD_0059,19,2.8947368421052633
PROD_0011,19,3.3157894736842106
PROD_0044,19,2.8947368421052633
PROD_0049,18,3.2222222222222223
PROD_0047,18,3.4444444444444446
PROD_0076,18,3.2222222222222223
PROD_0041,18,3.2222222222222223
PROD_0114,18,2.3333333333333335
PROD_0143,18,3.4444444444444446
PROD_0081,18,3.4444444444444446
PROD_0040,18,3.0
PROD_0048,18,3.4444444444444446
PROD_0017,17,2.6470588235294117
PROD_0116,17,2.6470588235294117
PROD_0108,17,2.8823529411764706
PROD_0004,17,3.588235294117647
PROD_0149,17,3.3529411764705883
PROD_0131,17,3.588235294117647
PROD_0082,17,3.823529411764706
PROD_0121,17,3.3529411764705883
PROD_0051,17,3.1176470588235294
PROD_0117,16,3.25
PROD_0085,16,3.0
PROD_0073,16,3.0
PROD_0077,16,3.25
PROD_0071,16,3.5
PROD_0127,16,2.75
PROD_0125,16,2.25
PROD_0126,16,2.75
PROD_0086,16,2.5
PROD_0123,16,3.0
PROD_0020,16,3.25
PROD_0018,16,3.0
PROD_0026,16,2.75
PROD_0068,16,2.75
PROD_0135,16,3.0
PROD_0146,16,2.25
PROD_0094,16,3.5
PROD_0141,16,2.75
PROD_0113,16,2.25
PROD_0055,16,2.0
PROD_0006,15,3.6666666666666665
PROD_0007,15,3.1333333333333333
PROD_0106,15,3.4
PROD_0137,15,3.4
PROD_0133,15,3.1333333333333333
PROD_0054,15,2.8666666666666667
PROD_0140,15,2.8666666666666667
PROD_0080,15,2.6
PROD_0032,15,3.6666666666666665
PROD_0016,15,2.3333333333333335
PROD_0061,15,3.1333333333333333
PROD_0038,15,2.8666666666666667
PROD_0057,15,3.1333333333333333
PROD_0009,15,2.8666666666666667
PROD_0084,15,2.8666666666666667
PROD_0063,15,3.4
PROD_0110,15,2.6
PROD_0105,15,2.3333333333333335
PROD_0028,15,2.3333333333333335
PROD_0078,15,3.6666666666666665
PROD_0104,14,2.7142857142857144
PROD_0033,14,2.4285714285714284
PROD_0067,14,2.142857142857143
PROD_0030,14,2.4285714285714284
PROD_0129,14,1.8571428571428572
PROD_0056,14,3.2857142857142856
PROD_0138,14,3.5714285714285716
PROD_0097,14,3.2857142857142856
PROD_0058,14,2.142857142857143
PROD_0045,14,3.2857142857142856
PROD_0005,14,2.7142857142857144
PROD_0027,14,3.2857142857142856
PROD_0087,14,3.2857142857142856
PROD_0050,14,2.7142857142857144
PROD_0144,14,2.142857142857143
PROD_0019,14,3.5714285714285716
PROD_0046,14,2.7142857142857144
PROD_0014,14,3.2857142857142856
PROD_0119,14,3.0
PROD_0074,13,3.1538461538461537
PROD_0148,13,2.230769230769231
PROD_0025,13,3.1538461538461537
PROD_0118,13,2.230769230769231
PROD_0031,13,2.8461538461538463
PROD_0095,13,3.1538461538461537
PROD_0150,13,2.5384615384615383
PROD_0124,13,2.230769230769231
PROD_0001,13,2.5384615384615383
PROD_0139,13,3.1538461538461537
PROD_0060,13,2.8461538461538463
PROD_0145,13,2.8461538461538463
PROD_0132,13,3.1538461538461537
PROD_0115,13,2.5384615384615383
PROD_0099,12,2.6666666666666665
PROD_0023,12,2.6666666666666665
PROD_0088,12,2.6666666666666665
PROD_0075,12,3.6666666666666665
PROD_0052,12,2.6666666666666665
PROD_0120,12,3.0
PROD_0002,12,2.3333333333333335
PROD_0092,11,3.5454545454545454
PROD_0065,11,4.2727272727272725
PROD_0012,11,2.4545454545454546
PROD_0093,11,2.4545454545454546
PROD_0107,11,2.4545454545454546
PROD_0101,11,3.1818181818181817
PROD_0109,11,3.5454545454545454
PROD_0015,11,3.1818181818181817
PROD_0100,11,3.1818181818181817
PROD_0036,11,2.4545454545454546
PROD_0010,11,4.2727272727272725
PROD_0147,11,2.8181818181818183
PROD_0039,11,3.1818181818181817
PROD_0008,11,2.4545454545454546
PROD_0070,11,2.8181818181818183
PROD_0003,11,3.1818181818181817
