review_id,user_id,product_id,rating,review_text,timestamp,ip_address,label
5fa4f23d-a875-48cd-8a8b-57476297af63,USER_3131,PROD_0147,5,Until bill establish report against ground. Buy Mr third tend.,2026-04-09 04:12:28,64.119.179.126,0
356d98db-be0f-40ca-b1b9-b10a6d970269,USER_BOT_017,PROD_0054,5,Amazing quality will buy again!! 10/10,2026-04-14 12:29:26,116.99.18.209,1
a30730f5-1351-49c7-aec9-48a72159d45d,USER_BOT_050,PROD_0011,5,Best product ever completely changed my life!!,2026-04-01 13:46:26,188.182.186.159,1
a25b0760-d676-442e-a496-ed550d6cc050,USER_2631,PROD_0111,3,Finish popular like national join national give PM. South head without when.,2026-04-02 08:24:03,172.215.225.227,0
a06ef4db-7f1c-4b55-a2fe-09efe0d5475d,USER_BOT_040,PROD_0042,5,Best product ever completely changed my life!!,2026-04-18 13:25:26,213.46.85.53,1
3257928f-a027-4f81-abb9-15303bde879e,USER_4676,PROD_0096,5,City create area anything history black. Word face case fill smile necessary. Personal discussion identify rather energy change.,2026-02-23 09:42:53,130.126.147.240,0
f321d67e-c1fc-4d59-b716-e87fc5b09812,USER_3033,PROD_0079,5,Member list population rise. Card within reality public financial fear continue.,2025-07-12 10:10:32,104.103.130.178,0
cad49f3d-6087-4814-a029-bb7e54c8577e,USER_BOT_003,PROD_0065,5,Amazing quality will buy again!! 10/10,2026-04-14 12:00:26,194.22.10.134,1
7b670410-de6d-434c-aa6b-9e02818866b2,USER_4621,PROD_0077,5,Cause drive choice.,2026-04-08 12:12:39,166.157.63.110,0
c56493c6-4e67-4511-a7f6-cbef932958ea,USER_2378,PROD_0012,1,Rather art visit. Evidence big ground suggest time national garden.,2025-08-06 03:26:55,174.122.96.252,0
c28cb464-cb8a-4ffe-a193-fe8a17e20371,USER_3665,PROD_0085,4,Fight because popular decision which road partner. Investment rest protect guy card. Brother three professional produce almost system century. Past chair move white woman government.,2025-09-23 23:45:43,192.85.75.111,0
7ae47624-319e-4355-a401-d328638ed55e,USER_3043,PROD_0017,3,Eye friend mention staff piece.,2025-12-18 08:46:00,54.104.142.35,0
